sku,sku_description,promo_type,regular_retail,discount_percent,promo_retail,margin_lift,sales_lift,volume_lift,sales_revenue,margin_dollars,margin_rate
SKU100000,Product Description 0,temporary price reduction,10.19,13.83,8.78,1.24,100.45,43.06,3468.1,358.41,10.33
SKU100001,Product Description 1,cm promo,22.69,12.13,19.94,6.14,8.7,82.99,5862.36,1903.99,32.48
SKU100002,Product Description 2,weekly b flyer,75.74,16.91,62.93,2.3,225.08,40.71,17431.61,6619.35,37.97
SKU100003,Product Description 3,cm promo,7.03,21.68,5.51,3.93,134.13,192.59,1300.36,391.42,30.1
SKU100004,Product Description 4,cm promo,50.27,15.36,42.55,8.69,213.2,32.59,20679.3,2260.23,10.93
SKU100005,Product Description 5,vendor flyer,45.33,23.02,34.89,4.53,19.68,182.83,7571.13,1227.44,16.21
SKU100006,Product Description 6,weekly b flyer,34.77,10.79,31.02,9.2,60.73,86.84,7817.04,2000.38,25.59
SKU100007,Product Description 7,weekly b flyer,40.67,39.22,24.72,5.23,68.55,76.82,12236.4,3773.72,30.84
SKU100008,Product Description 8,weekly b flyer,53.93,8.78,49.2,4.29,99.74,47.8,2706.0,738.76,27.3
SKU100009,Product Description 9,cm promo,17.81,37.62,11.11,7.63,201.7,127.88,2010.91,793.89,39.48
SKU100010,Product Description 10,temporary price reduction,58.06,36.98,36.59,1.2,99.71,137.73,10757.46,1984.63,18.45
SKU100011,Product Description 11,weekly b flyer,80.93,23.39,62.0,1.35,55.14,94.58,8680.0,3212.53,37.01
SKU100012,Product Description 12,cm promo,76.5,30.37,53.27,6.69,20.92,13.03,19177.2,4684.77,24.43
SKU100013,Product Description 13,vendor flyer,17.08,20.26,13.62,5.13,24.48,183.87,2383.5,548.79,23.02
SKU100014,Product Description 14,temporary price reduction,16.63,27.05,12.13,8.01,191.21,196.11,3529.83,1410.14,39.95
SKU100015,Product Description 15,vendor flyer,28.28,16.92,23.49,9.2,113.98,87.35,7000.02,742.26,10.6
SKU100016,Product Description 16,temporary price reduction,37.39,15.54,31.58,4.19,182.91,123.5,13768.88,4259.52,30.94
SKU100017,Product Description 17,cm promo,42.03,25.24,31.42,6.17,172.16,91.16,1759.52,663.04,37.68
SKU100018,Product Description 18,weekly a flyer,68.61,22.43,53.22,5.26,38.16,65.73,7291.14,1047.62,14.37
SKU100019,Product Description 19,temporary price reduction,7.55,25.28,5.64,9.83,40.01,17.31,761.4,269.85,35.44
SKU100020,Product Description 20,vendor flyer,5.4,15.03,4.59,8.4,190.06,92.3,2042.55,801.73,39.25
SKU100021,Product Description 21,cm promo,40.41,17.84,33.2,9.16,181.71,164.04,13412.8,3374.56,25.16
SKU100022,Product Description 22,temporary price reduction,70.32,7.94,64.74,2.92,97.62,5.37,12559.56,4534.31,36.1
SKU100023,Product Description 23,weekly a flyer,20.96,6.83,19.53,7.84,23.97,117.26,7421.4,781.27,10.53
SKU100024,Product Description 24,weekly a flyer,64.87,13.87,55.87,3.02,7.96,176.39,13799.89,5476.85,39.69
SKU100025,Product Description 25,weekly b flyer,27.46,7.6,25.37,2.48,75.6,45.07,10452.44,4020.43,38.46
SKU100026,Product Description 26,weekly b flyer,88.84,8.63,81.17,9.47,7.26,38.28,17289.21,2593.64,15.0
SKU100027,Product Description 27,vendor flyer,89.78,33.45,59.75,0.68,61.37,154.91,11591.5,3802.88,32.81
SKU100028,Product Description 28,temporary price reduction,31.13,6.36,29.15,9.67,107.78,52.51,11397.65,1442.04,12.65
SKU100029,Product Description 29,temporary price reduction,24.54,28.06,17.65,1.92,34.75,40.01,882.5,270.63,30.67
SKU100030,Product Description 30,weekly b flyer,42.31,14.54,36.16,8.28,30.55,76.84,6111.04,2316.48,37.91
SKU100031,Product Description 31,temporary price reduction,25.57,35.5,16.49,3.12,224.63,79.72,1912.84,759.06,39.68
SKU100032,Product Description 32,temporary price reduction,67.89,21.97,52.97,3.83,148.44,175.07,21399.88,6745.88,31.52
SKU100033,Product Description 33,weekly a flyer,82.95,15.7,69.93,2.56,233.94,124.45,6853.14,1767.29,25.79
SKU100034,Product Description 34,weekly b flyer,67.96,23.12,52.25,6.06,89.73,82.38,18601.0,7434.73,39.97
SKU100035,Product Description 35,cm promo,82.79,18.37,67.58,3.81,170.9,107.81,25410.08,5734.24,22.57
SKU100036,Product Description 36,weekly b flyer,40.91,24.75,30.78,6.75,55.15,190.89,13081.5,3923.16,29.99
SKU100037,Product Description 37,cm promo,17.32,9.01,15.76,0.65,156.49,24.42,7501.76,2122.65,28.3
SKU100038,Product Description 38,weekly a flyer,74.32,39.89,44.67,1.11,36.75,43.13,18627.39,5990.13,32.16
SKU100039,Product Description 39,vendor flyer,37.33,19.89,29.9,1.45,5.51,192.58,10046.4,2424.06,24.13
SKU100040,Product Description 40,temporary price reduction,67.78,17.19,56.13,4.48,233.23,191.55,4097.49,1356.12,33.1
SKU100041,Product Description 41,weekly a flyer,28.52,29.86,20.0,8.24,140.95,37.08,5200.0,1869.68,35.96
SKU100042,Product Description 42,temporary price reduction,9.96,17.74,8.19,8.94,232.1,30.73,2800.98,371.99,13.28
SKU100043,Product Description 43,vendor flyer,99.27,34.16,65.35,2.83,86.79,85.37,32544.3,9204.62,28.28
SKU100044,Product Description 44,vendor flyer,17.31,20.9,13.69,5.96,85.31,11.84,1533.28,577.93,37.69
SKU100045,Product Description 45,weekly a flyer,98.87,30.18,69.03,7.8,103.16,131.67,7248.15,2398.44,33.09
SKU100046,Product Description 46,vendor flyer,97.77,8.76,89.2,3.24,177.98,17.34,5976.4,1834.86,30.7
SKU100047,Product Description 47,cm promo,79.79,34.61,52.17,4.39,143.62,13.49,21441.87,3625.95,16.91
SKU100048,Product Description 48,vendor flyer,66.62,30.75,46.13,5.48,231.71,98.07,22972.74,9035.72,39.33
SKU100049,Product Description 49,temporary price reduction,58.63,12.41,51.35,1.78,11.23,191.64,23723.7,6085.73,25.65
SKU100050,Product Description 50,temporary price reduction,86.88,10.09,78.12,0.75,178.51,86.51,9843.12,2733.36,27.77
SKU100051,Product Description 51,temporary price reduction,30.37,16.07,25.49,1.95,85.93,72.58,7876.41,862.31,10.95
SKU100052,Product Description 52,temporary price reduction,47.83,39.16,29.1,6.46,49.16,199.6,4947.0,1711.55,34.6
SKU100053,Product Description 53,cm promo,62.7,13.99,53.93,1.2,130.05,107.33,23998.85,5079.09,21.16
SKU100054,Product Description 54,weekly b flyer,42.3,20.96,33.43,2.3,128.74,76.3,7789.19,2643.19,33.93
SKU100055,Product Description 55,weekly a flyer,43.89,6.05,41.23,3.71,38.57,78.4,3999.31,941.73,23.55
SKU100056,Product Description 56,temporary price reduction,34.37,18.9,27.87,1.24,54.46,40.6,5462.52,1275.39,23.35
SKU100057,Product Description 57,vendor flyer,57.29,25.0,42.97,2.32,105.0,103.42,14223.07,5367.73,37.74
SKU100058,Product Description 58,temporary price reduction,85.36,38.36,52.62,9.16,105.16,88.89,21732.06,5716.94,26.31
SKU100059,Product Description 59,vendor flyer,21.75,23.09,16.73,0.68,82.8,55.62,5738.39,1501.47,26.17
SKU100060,Product Description 60,vendor flyer,93.57,33.67,62.07,6.71,41.39,33.79,8007.03,2436.21,30.43
SKU100061,Product Description 61,temporary price reduction,69.53,24.15,52.74,4.15,6.07,63.63,15030.9,4762.58,31.69
SKU100062,Product Description 62,cm promo,82.68,6.43,77.37,6.89,242.71,102.72,35435.46,11789.75,33.27
SKU100063,Product Description 63,vendor flyer,56.51,16.03,47.45,6.09,236.16,13.55,23203.05,9239.86,39.82
SKU100064,Product Description 64,vendor flyer,78.39,25.14,58.68,2.62,123.49,32.44,16313.04,6516.33,39.95
SKU100065,Product Description 65,temporary price reduction,3.59,38.27,2.22,8.55,248.79,189.64,739.26,164.9,22.31
SKU100066,Product Description 66,vendor flyer,82.2,35.07,53.37,5.17,170.05,109.49,5870.7,1834.95,31.26
SKU100067,Product Description 67,vendor flyer,5.93,12.99,5.16,8.31,21.87,14.56,1388.04,485.31,34.96
SKU100068,Product Description 68,temporary price reduction,89.21,12.7,77.88,4.36,33.84,139.23,30684.72,5970.62,19.46
SKU100069,Product Description 69,temporary price reduction,99.21,12.04,87.26,9.85,229.45,14.24,12041.88,2906.05,24.13
SKU100070,Product Description 70,weekly a flyer,30.82,37.29,19.33,7.82,159.36,148.3,9355.72,1174.26,12.55
SKU100071,Product Description 71,cm promo,22.61,34.84,14.73,9.68,211.58,150.49,6554.85,987.78,15.07
SKU100072,Product Description 72,cm promo,77.01,32.12,52.27,5.39,225.08,130.91,16360.51,2977.31,18.2
SKU100073,Product Description 73,vendor flyer,26.8,18.75,21.78,5.0,114.75,146.98,6033.06,2184.12,36.2
SKU100074,Product Description 74,cm promo,86.83,22.65,67.16,7.68,16.89,19.42,28677.32,5740.44,20.02
SKU100075,Product Description 75,vendor flyer,12.08,21.25,9.51,8.86,51.13,145.9,1445.52,277.28,19.18
SKU100076,Product Description 76,weekly a flyer,14.34,13.87,12.35,9.66,21.31,29.06,6063.85,1036.92,17.1
SKU100077,Product Description 77,temporary price reduction,97.96,22.68,75.75,3.58,51.24,69.22,10377.75,3331.88,32.11
SKU100078,Product Description 78,temporary price reduction,68.04,6.07,63.91,8.09,105.58,188.66,4601.52,956.71,20.79
SKU100079,Product Description 79,temporary price reduction,84.99,9.61,76.82,2.5,33.96,101.57,26272.44,5635.87,21.45
SKU100080,Product Description 80,cm promo,33.78,36.03,21.61,5.68,45.85,193.55,6828.76,1942.15,28.44
SKU100081,Product Description 81,weekly a flyer,68.3,31.31,46.92,2.21,114.23,19.61,3096.72,622.28,20.09
SKU100082,Product Description 82,cm promo,60.24,19.8,48.31,3.8,88.34,96.56,23623.59,8835.02,37.4
SKU100083,Product Description 83,cm promo,61.11,23.1,46.99,9.35,119.58,14.36,22837.14,4726.11,20.69
SKU100084,Product Description 84,weekly a flyer,68.89,17.95,56.52,1.89,110.15,126.78,24586.2,5364.59,21.82
SKU100085,Product Description 85,weekly a flyer,58.39,30.93,40.33,6.51,162.9,17.58,13470.22,4536.94,33.68
SKU100086,Product Description 86,weekly a flyer,44.05,32.45,29.76,6.13,234.61,36.72,10773.12,1664.83,15.45
SKU100087,Product Description 87,weekly a flyer,29.04,31.71,19.83,1.65,31.43,53.25,4184.13,576.05,13.77
SKU100088,Product Description 88,temporary price reduction,77.32,30.29,53.9,3.6,29.32,150.25,6845.3,2305.87,33.69
SKU100089,Product Description 89,weekly b flyer,24.17,12.16,21.23,5.85,213.94,34.46,3630.33,1369.4,37.72
SKU100090,Product Description 90,weekly b flyer,69.85,16.83,58.09,2.28,129.07,169.63,9352.49,2047.52,21.89
SKU100091,Product Description 91,weekly a flyer,24.87,21.44,19.54,8.11,192.77,28.12,5627.52,1440.78,25.6
SKU100092,Product Description 92,weekly b flyer,63.28,16.58,52.79,9.74,57.78,8.98,13672.61,3715.15,27.17
SKU100093,Product Description 93,weekly b flyer,75.21,31.42,51.58,2.54,208.07,80.22,20528.84,3524.75,17.17
SKU100094,Product Description 94,weekly a flyer,23.43,16.53,19.56,2.28,231.34,195.93,997.56,108.84,10.91
SKU100095,Product Description 95,weekly b flyer,7.87,9.84,7.1,4.82,160.69,23.85,3045.9,781.89,25.67
SKU100096,Product Description 96,cm promo,14.84,18.97,12.03,7.6,30.94,22.14,3031.56,1207.03,39.82
SKU100097,Product Description 97,vendor flyer,61.39,39.3,37.27,3.18,224.35,150.73,12522.72,2769.02,22.11
SKU100098,Product Description 98,vendor flyer,85.25,12.91,74.25,0.69,199.16,63.81,12325.5,2512.06,20.38
SKU100099,Product Description 99,weekly a flyer,6.41,26.43,4.72,5.64,188.97,144.02,1972.96,299.09,15.16
SKU100100,Product Description 100,temporary price reduction,73.95,20.15,59.05,9.59,14.0,41.6,20608.45,7010.54,34.02
SKU100101,Product Description 101,weekly a flyer,35.45,7.49,32.8,4.22,200.75,93.09,14169.6,3438.99,24.27
SKU100102,Product Description 102,temporary price reduction,48.9,22.08,38.1,4.49,38.8,54.53,15049.5,4001.07,26.59
SKU100103,Product Description 103,vendor flyer,93.03,29.58,65.52,9.7,59.48,91.4,32039.28,6429.25,20.07
SKU100104,Product Description 104,weekly a flyer,34.53,22.96,26.6,7.1,146.4,154.28,12954.2,4933.18,38.08
SKU100105,Product Description 105,cm promo,47.6,35.52,30.69,7.33,69.92,152.88,14915.34,2010.53,13.48
SKU100106,Product Description 106,weekly b flyer,3.34,15.11,2.84,5.85,167.03,104.12,462.92,114.18,24.67
SKU100107,Product Description 107,temporary price reduction,10.0,8.02,9.2,9.76,153.98,185.82,1131.6,154.9,13.69
SKU100108,Product Description 108,weekly b flyer,27.34,37.78,17.01,7.04,31.5,54.23,4932.9,1469.65,29.79
SKU100109,Product Description 109,weekly b flyer,4.73,18.24,3.87,9.0,165.72,49.58,1358.37,277.03,20.39
SKU100110,Product Description 110,weekly a flyer,63.87,25.17,47.79,7.14,231.37,123.53,4922.37,556.14,11.3
SKU100111,Product Description 111,weekly b flyer,43.79,32.72,29.46,7.48,44.47,125.02,6127.68,716.85,11.7
SKU100112,Product Description 112,cm promo,55.72,16.35,46.61,3.26,151.28,11.21,7364.38,859.93,11.68
SKU100113,Product Description 113,weekly b flyer,19.12,30.07,13.37,3.38,88.76,122.34,4398.73,1702.82,38.71
SKU100114,Product Description 114,weekly a flyer,31.0,9.74,27.98,7.94,117.6,76.14,5651.96,1577.43,27.91
SKU100115,Product Description 115,cm promo,67.05,15.2,56.86,3.32,75.32,149.99,12054.32,4601.92,38.18
SKU100116,Product Description 116,vendor flyer,96.6,10.06,86.88,5.85,91.76,162.0,9209.28,2828.69,30.72
SKU100117,Product Description 117,weekly b flyer,6.94,33.39,4.62,2.87,12.08,111.33,1741.74,605.48,34.76
SKU100118,Product Description 118,weekly a flyer,89.26,12.79,77.84,8.26,245.48,2.34,29112.16,6228.8,21.4
SKU100119,Product Description 119,vendor flyer,58.53,30.11,40.91,1.55,158.08,128.0,10759.33,1783.64,16.58
SKU100120,Product Description 120,vendor flyer,57.26,38.02,35.49,8.38,127.67,150.28,2732.73,672.24,24.6
