sku,sku_description,promo_type,regular_retail,discount_percent,promo_retail,margin_lift,sales_lift,volume_lift,sales_revenue,margin_dollars,margin_rate
SKU100000,Product Description 0,temporary price reduction,93.35,30.07,65.28,1.19,135.41,34.53,27613.44,7272.28,26.34
SKU100001,Product Description 1,cm promo,57.38,7.52,53.06,6.41,30.3,157.07,6261.08,1410.98,22.54
SKU100002,Product Description 2,weekly b flyer,70.27,7.49,65.0,9.82,47.27,26.25,30160.0,8835.94,29.3
SKU100003,Product Description 3,cm promo,92.4,5.42,87.39,2.31,144.15,127.71,8214.66,2881.04,35.07
SKU100004,Product Description 4,cm promo,71.31,38.48,43.87,8.03,77.61,26.52,8159.82,2030.85,24.89
SKU100005,Product Description 5,vendor flyer,16.95,30.81,11.73,9.13,234.89,15.97,3319.59,501.06,15.09
SKU100006,Product Description 6,weekly b flyer,58.48,17.36,48.33,9.47,205.59,182.07,3914.73,786.06,20.08
SKU100007,Product Description 7,weekly b flyer,61.46,15.38,52.01,9.62,245.97,39.65,17579.38,5247.26,29.85
SKU100008,Product Description 8,weekly b flyer,43.56,17.24,36.05,5.45,68.62,164.61,6308.75,752.91,11.93
SKU100009,Product Description 9,cm promo,74.17,32.11,50.35,9.78,242.58,109.84,5840.6,737.89,12.63
SKU100010,Product Description 10,temporary price reduction,93.57,28.15,67.23,7.69,110.65,17.42,5311.17,1790.9,33.72
SKU100011,Product Description 11,weekly b flyer,92.71,11.48,82.07,2.04,90.14,191.18,13377.41,5192.77,38.82
SKU100012,Product Description 12,cm promo,46.18,11.09,41.06,5.03,17.34,50.9,10388.18,1845.02,17.76
SKU100013,Product Description 13,vendor flyer,13.1,8.44,11.99,7.32,17.93,172.21,935.22,141.89,15.17
SKU100014,Product Description 14,temporary price reduction,98.51,28.11,70.82,2.85,174.54,35.42,12747.6,1397.65,10.96
SKU100015,Product Description 15,vendor flyer,84.21,31.75,57.47,6.59,117.19,171.08,13447.98,1789.24,13.3
SKU100016,Product Description 16,temporary price reduction,14.22,14.28,12.19,6.83,60.5,4.62,3681.38,809.31,21.98
SKU100017,Product Description 17,cm promo,92.24,5.73,86.95,2.05,155.42,103.33,29128.25,7019.45,24.1
SKU100018,Product Description 18,weekly a flyer,87.25,7.88,80.38,5.87,66.95,154.35,35527.96,13914.44,39.16
SKU100019,Product Description 19,temporary price reduction,52.85,38.88,32.3,7.83,146.52,187.09,14825.7,4833.22,32.6
SKU100020,Product Description 20,vendor flyer,59.94,15.34,50.74,5.24,93.01,182.02,22071.9,5785.39,26.21
SKU100021,Product Description 21,cm promo,41.1,31.92,27.98,0.61,206.77,164.29,3105.78,656.71,21.14
SKU100022,Product Description 22,temporary price reduction,7.37,26.86,5.39,0.59,206.07,177.86,280.28,65.26,23.28
SKU100023,Product Description 23,weekly a flyer,34.85,18.37,28.45,3.89,121.95,41.45,13627.55,2414.93,17.72
SKU100024,Product Description 24,weekly a flyer,80.68,12.2,70.84,9.3,90.95,58.27,8288.28,2619.68,31.61
SKU100025,Product Description 25,weekly b flyer,2.45,9.25,2.22,2.67,93.83,59.22,164.28,37.87,23.05
SKU100026,Product Description 26,weekly b flyer,34.68,26.53,25.48,6.53,202.4,76.66,5809.44,2170.16,37.36
SKU100027,Product Description 27,vendor flyer,41.02,32.11,27.85,2.61,85.4,79.88,5291.5,1459.93,27.59
SKU100028,Product Description 28,temporary price reduction,54.66,27.54,39.61,3.56,56.22,109.82,11090.8,1940.35,17.5
