sku,sku_description,promo_type,regular_retail,discount_percent,promo_retail,margin_lift,sales_lift,volume_lift,sales_revenue,margin_dollars,margin_rate
SKU100000,Product Description 0,temporary price reduction,5.78,38.64,3.55,2.47,200.8,123.49,1366.75,152.7,11.17
SKU100001,Product Description 1,cm promo,88.13,13.6,76.14,6.51,158.86,104.84,21319.2,4105.88,19.26
SKU100002,Product Description 2,weekly b flyer,32.86,5.32,31.11,4.54,30.65,84.36,4635.39,729.48,15.74
SKU100003,Product Description 3,cm promo,14.64,20.18,11.69,0.65,222.45,10.85,5739.79,1856.62,32.35
SKU100004,Product Description 4,cm promo,47.91,17.56,39.5,0.77,229.78,173.41,11139.0,2233.29,20.05
SKU100005,Product Description 5,vendor flyer,60.63,23.87,46.16,4.98,84.61,173.38,2354.16,900.7,38.26
SKU100006,Product Description 6,weekly b flyer,5.04,32.89,3.38,2.24,155.92,119.62,219.7,24.59,11.19
SKU100007,Product Description 7,weekly b flyer,28.94,34.49,18.96,6.06,125.62,55.04,5119.2,1018.4,19.89
SKU100008,Product Description 8,weekly b flyer,5.21,19.04,4.22,4.38,235.8,7.57,1316.64,401.5,30.49
SKU100009,Product Description 9,cm promo,43.19,20.04,34.53,6.72,129.64,2.28,8010.96,1346.54,16.81
SKU100010,Product Description 10,temporary price reduction,89.72,10.19,80.58,9.55,240.19,16.44,36099.84,14268.83,39.53
SKU100011,Product Description 11,weekly b flyer,98.3,6.66,91.75,5.52,53.84,73.26,6606.0,1896.78,28.71
SKU100012,Product Description 12,cm promo,64.43,27.44,46.75,7.98,89.66,39.3,13838.0,1816.97,13.13
SKU100013,Product Description 13,vendor flyer,17.84,7.26,16.55,7.65,196.43,54.48,5064.3,1625.84,32.1
SKU100014,Product Description 14,temporary price reduction,90.77,30.68,62.92,9.26,196.98,140.53,10381.8,2072.47,19.96
SKU100015,Product Description 15,vendor flyer,52.59,23.87,40.04,2.53,184.38,191.91,4724.72,1379.47,29.2
SKU100016,Product Description 16,temporary price reduction,17.07,11.95,15.03,8.36,215.6,42.94,2855.7,806.14,28.23
SKU100017,Product Description 17,cm promo,92.33,23.88,70.28,9.1,177.12,94.2,32258.52,5684.56,17.62
SKU100018,Product Description 18,weekly a flyer,76.23,11.4,67.54,4.23,160.84,198.31,6821.54,865.91,12.69
SKU100019,Product Description 19,temporary price reduction,73.71,20.36,58.71,3.48,117.44,186.47,26184.66,9164.22,35.0
SKU100020,Product Description 20,vendor flyer,71.5,32.98,47.92,9.54,119.44,71.76,6948.4,2202.17,31.69
SKU100021,Product Description 21,cm promo,21.63,21.17,17.05,6.46,104.51,65.3,1773.2,449.8,25.37
SKU100022,Product Description 22,temporary price reduction,22.68,10.2,20.37,4.12,156.95,49.95,6803.58,1468.59,21.59
SKU100023,Product Description 23,weekly a flyer,69.45,30.33,48.38,8.02,104.63,32.77,9434.1,2449.69,25.97
SKU100024,Product Description 24,weekly a flyer,23.53,11.54,20.82,3.39,41.14,93.09,9056.7,1434.05,15.83
